"filename", "language", "Python", "Django Template", "CSS", "JavaScript", "Database", "JSON", "SCSS", "XML", "comment", "blank", "total"
"d:\CS\Python\Xentiment\XentimentApp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CS\Python\Xentiment\XentimentApp\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\CS\Python\Xentiment\XentimentApp\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\CS\Python\Xentiment\XentimentApp\handler.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 1, 9, 46
"d:\CS\Python\Xentiment\XentimentApp\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CS\Python\Xentiment\XentimentApp\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\CS\Python\Xentiment\XentimentApp\templates\home.html", "Django Template", 0, 150, 0, 0, 0, 0, 0, 0, 0, 31, 181
"d:\CS\Python\Xentiment\XentimentApp\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\CS\Python\Xentiment\XentimentApp\urls.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\CS\Python\Xentiment\XentimentApp\views.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\CS\Python\Xentiment\Xentiment\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CS\Python\Xentiment\Xentiment\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"d:\CS\Python\Xentiment\Xentiment\settings.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 27, 33, 130
"d:\CS\Python\Xentiment\Xentiment\urls.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 15, 3, 28
"d:\CS\Python\Xentiment\Xentiment\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"d:\CS\Python\Xentiment\db.sqlite3", "Database", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 70
