Date : 2023-11-20 20:43:42
Directory : d:\CS\Python\Xentiment
Total : 78 files,  80678 codes, 2555 comments, 11812 blanks, all 95045 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| CSS             |         43 |     59,940 |        333 |      9,652 |     69,925 |
| JavaScript      |         15 |     16,226 |      2,151 |      2,048 |     20,425 |
| SCSS            |          1 |      2,080 |          5 |          6 |      2,091 |
| JSON            |          1 |      2,052 |          0 |          0 |      2,052 |
| Python          |         15 |        159 |         66 |         75 |        300 |
| Django Template |          1 |        150 |          0 |         31 |        181 |
| Database        |          1 |         70 |          0 |          0 |         70 |
| XML             |          1 |          1 |          0 |          0 |          1 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         78 |     80,678 |      2,555 |     11,812 |     95,045 |
| . (Files)                                                                                      |          2 |         85 |          3 |          5 |         93 |
| Xentiment                                                                                      |          5 |         88 |         58 |         47 |        193 |
| XentimentApp                                                                                   |         10 |        206 |          5 |         54 |        265 |
| XentimentApp (Files)                                                                           |          8 |         56 |          5 |         22 |         83 |
| XentimentApp\migrations                                                                        |          1 |          0 |          0 |          1 |          1 |
| XentimentApp\templates                                                                         |          1 |        150 |          0 |         31 |        181 |
| static                                                                                         |         61 |     80,299 |      2,489 |     11,706 |     94,494 |
| static\home                                                                                    |         61 |     80,299 |      2,489 |     11,706 |     94,494 |
| static\home\assets                                                                             |         61 |     80,299 |      2,489 |     11,706 |     94,494 |
| static\home\assets\css                                                                         |          1 |      1,551 |         89 |        275 |      1,915 |
| static\home\assets\img                                                                         |          1 |          1 |          0 |          0 |          1 |
| static\home\assets\js                                                                          |          1 |         96 |         37 |         19 |        152 |
| static\home\assets\vendor                                                                      |         58 |     78,651 |      2,363 |     11,412 |     92,426 |
| static\home\assets\vendor\aos                                                                  |          4 |        762 |        254 |        213 |      1,229 |
| static\home\assets\vendor\bootstrap                                                            |         22 |     53,112 |      1,957 |      4,513 |     59,582 |
| static\home\assets\vendor\bootstrap-icons                                                      |          4 |      6,203 |         14 |         10 |      6,227 |
| static\home\assets\vendor\bootstrap\css                                                        |         16 |     40,882 |        122 |      3,299 |     44,303 |
| static\home\assets\vendor\bootstrap\js                                                         |          6 |     12,230 |      1,835 |      1,214 |     15,279 |
| static\home\assets\vendor\fontawesome-free                                                     |         18 |     12,998 |         94 |      5,775 |     18,867 |
| static\home\assets\vendor\fontawesome-free\css                                                 |         18 |     12,998 |         94 |      5,775 |     18,867 |
| static\home\assets\vendor\glightbox                                                            |          6 |      5,503 |          8 |        888 |      6,399 |
| static\home\assets\vendor\glightbox\css                                                        |          4 |      2,436 |          8 |        298 |      2,742 |
| static\home\assets\vendor\glightbox\js                                                         |          2 |      3,067 |          0 |        590 |      3,657 |
| static\home\assets\vendor\php-email-form                                                       |          1 |         70 |          5 |         11 |         86 |
| static\home\assets\vendor\purecounter                                                          |          1 |          1 |          8 |          0 |          9 |
| static\home\assets\vendor\swiper                                                               |          2 |          2 |         23 |          2 |         27 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                       | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\CS\Python\Xentiment\XentimentApp\__init__.py                                                | Python          |          0 |          0 |          1 |          1 |
| d:\CS\Python\Xentiment\XentimentApp\admin.py                                                   | Python          |          1 |          1 |          2 |          4 |
| d:\CS\Python\Xentiment\XentimentApp\apps.py                                                    | Python          |          4 |          0 |          3 |          7 |
| d:\CS\Python\Xentiment\XentimentApp\handler.py                                                 | Python          |         36 |          1 |          9 |         46 |
| d:\CS\Python\Xentiment\XentimentApp\migrations\__init__.py                                     | Python          |          0 |          0 |          1 |          1 |
| d:\CS\Python\Xentiment\XentimentApp\models.py                                                  | Python          |          1 |          1 |          2 |          4 |
| d:\CS\Python\Xentiment\XentimentApp\templates\home.html                                        | Django Template |        150 |          0 |         31 |        181 |
| d:\CS\Python\Xentiment\XentimentApp\tests.py                                                   | Python          |          1 |          1 |          2 |          4 |
| d:\CS\Python\Xentiment\XentimentApp\urls.py                                                    | Python          |         10 |          0 |          2 |         12 |
| d:\CS\Python\Xentiment\XentimentApp\views.py                                                   | Python          |          3 |          1 |          1 |          5 |
| d:\CS\Python\Xentiment\Xentiment\__init__.py                                                   | Python          |          0 |          0 |          1 |          1 |
| d:\CS\Python\Xentiment\Xentiment\asgi.py                                                       | Python          |          4 |          8 |          5 |         17 |
| d:\CS\Python\Xentiment\Xentiment\settings.py                                                   | Python          |         70 |         27 |         33 |        130 |
| d:\CS\Python\Xentiment\Xentiment\urls.py                                                       | Python          |         10 |         15 |          3 |         28 |
| d:\CS\Python\Xentiment\Xentiment\wsgi.py                                                       | Python          |          4 |          8 |          5 |         17 |
| d:\CS\Python\Xentiment\db.sqlite3                                                              | Database        |         70 |          0 |          0 |         70 |
| d:\CS\Python\Xentiment\manage.py                                                               | Python          |         15 |          3 |          5 |         23 |
| d:\CS\Python\Xentiment\static\home\assets\css\main.css                                         | CSS             |      1,551 |         89 |        275 |      1,915 |
| d:\CS\Python\Xentiment\static\home\assets\img\hero-img.svg                                     | XML             |          1 |          0 |          0 |          1 |
| d:\CS\Python\Xentiment\static\home\assets\js\main.js                                           | JavaScript      |         96 |         37 |         19 |        152 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\aos\aos.cjs.js                                | JavaScript      |        381 |        127 |        107 |        615 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\aos\aos.css                                   | CSS             |          1 |          0 |          0 |          1 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\aos\aos.esm.js                                | JavaScript      |        379 |        127 |        105 |        611 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\aos\aos.js                                    | JavaScript      |          1 |          0 |          1 |          2 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap-icons\bootstrap-icons.css           | CSS             |      2,070 |          5 |          4 |      2,079 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap-icons\bootstrap-icons.json          | JSON            |      2,052 |          0 |          0 |      2,052 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap-icons\bootstrap-icons.min.css       | CSS             |          1 |          4 |          0 |          5 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap-icons\bootstrap-icons.scss          | SCSS            |      2,080 |          5 |          6 |      2,091 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-grid.css              | CSS             |      3,886 |          6 |        193 |      4,085 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-grid.min.css          | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-grid.rtl.css          | CSS             |      3,886 |          6 |        192 |      4,084 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-grid.rtl.min.css      | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-reboot.css            | CSS             |        518 |         14 |         65 |        597 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-reboot.min.css        | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.css        | CSS             |        524 |          6 |         64 |        594 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.min.css    | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-utilities.css         | CSS             |      4,891 |          8 |        503 |      5,402 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-utilities.min.css     | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.css     | CSS             |      4,887 |          6 |        500 |      5,393 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.min.css | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap.css                   | CSS             |     11,139 |         32 |        897 |     12,068 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap.min.css               | CSS             |          2 |          4 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap.rtl.css               | CSS             |     11,141 |          6 |        885 |     12,032 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap.rtl.min.css           | CSS             |          2 |          4 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.bundle.js              | JavaScript      |      5,061 |        655 |        599 |      6,315 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.bundle.min.js          | JavaScript      |          1 |          6 |          0 |          7 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.esm.js                 | JavaScript      |      3,565 |        578 |        305 |      4,448 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.esm.min.js             | JavaScript      |          1 |          6 |          0 |          7 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.js                     | JavaScript      |      3,601 |        584 |        310 |      4,495 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.min.js                 | JavaScript      |          1 |          6 |          0 |          7 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\all.css                  | CSS             |      5,431 |          7 |      2,533 |      7,971 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\all.min.css              | CSS             |          3 |          5 |          1 |          9 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\brands.css               | CSS             |      1,024 |          5 |        509 |      1,538 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\brands.min.css           | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\fontawesome.css          | CSS             |      4,350 |          7 |      2,016 |      6,373 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\fontawesome.min.css      | CSS             |          3 |          5 |          1 |          9 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\regular.css              | CSS             |         12 |          5 |          3 |         20 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\regular.min.css          | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\solid.css                | CSS             |         12 |          5 |          3 |         20 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\solid.min.css            | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\svg-with-js.css          | CSS             |        557 |          5 |         78 |        640 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\svg-with-js.min.css      | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v4-font-face.css         | CSS             |         18 |          5 |          4 |         27 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v4-font-face.min.css     | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v4-shims.css             | CSS             |      1,566 |          5 |        624 |      2,195 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v4-shims.min.css         | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v5-font-face.css         | CSS             |         15 |          5 |          3 |         23 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\v5-font-face.min.css     | CSS             |          1 |          5 |          0 |          6 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\css\glightbox.css                   | CSS             |        819 |          8 |        113 |        940 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\css\glightbox.min.css               | CSS             |          1 |          0 |          0 |          1 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\css\plyr.css                        | CSS             |      1,615 |          0 |        185 |      1,800 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\css\plyr.min.css                    | CSS             |          1 |          0 |          0 |          1 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\js\glightbox.js                     | JavaScript      |      3,066 |          0 |        590 |      3,656 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\glightbox\js\glightbox.min.js                 | JavaScript      |          1 |          0 |          0 |          1 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\php-email-form\validate.js                    | JavaScript      |         70 |          5 |         11 |         86 |
| d:\CS\Python\Xentiment\static\home\assets\vendor\purecounter\purecounter_vanilla.js            | JavaScript      |          1 |          8 |          0 |          9 |
